Município;Casos confirmados;Recuperados
FORTALEZA;26645;18572
SOBRAL;2823;1842
CAUCAIA;2277;1408
MARACANAU;2043;1239
SEM INFORMAÇÃO;1536;1
ITAPIPOCA;1138;903
SAO GONCALO DO AMARANTE;962;802
MARANGUAPE;882;629
EUSEBIO;837;636
QUIXADA;836;626
ACARAU;783;437
ITAREMA;722;640
PACATUBA;627;502
CANINDE;581;479
MORADA NOVA;535;481
HORIZONTE;474;348
MASSAPE;455;339
CASCAVEL;436;326
BELA CRUZ;428;312
JUAZEIRO DO NORTE;420;185
ARACATI;390;292
CAMOCIM;389;283
QUIXERAMOBIM;374;253
TIANGUA;370;195
ITAPAGE;343;245
LIMOEIRO DO NORTE;339;276
AQUIRAZ;327;237
REDENCAO;307;244
URUBURETAMA;298;214
PACAJUS;295;216
ITAITINGA;287;220
AMONTADA;276;198
VICOSA DO CEARA;273;192
ITATIRA;265;162
RUSSAS;260;165
TRAIRI;255;173
PENTECOSTE;251;108
CRATEUS;250;153
CRUZ;246;162
SANTA QUITERIA;228;208
ARACOIABA;228;177
COREAU;221;181
TAUA;216;159
PARACURU;205;172
UBAJARA;204;126
CAPISTRANO;187;121
PARAIPABA;185;160
GRANJA;179;84
TABULEIRO DO NORTE;178;123
BARROQUINHA;162;98
PINDORETAMA;161;119
BEBERIBE;152;110
SENADOR SA;149;133
MORRINHOS;148;123
IGUATU;146;98
JAGUARIBE;144;115
OCARA;132;96
IBICUITINGA;128;99
CHOROZINHO;128;98
ALCANTARAS;124;99
TEJUCUOCA;122;94
JIJOCA DE JERICOACOARA;120;82
CARIRE;119;93
GUAIÚBA;118;93
UMIRIM;117;81
MUCAMBO;115;82
CHORÓ;110;86
TURURU;110;86
ACOPIARA;107;60
JAGUARUANA;102;67
ACARAPE;101;88
BARREIRA;99;63
CHAVAL;98;44
BANABUIU;95;63
CARIDADE;95;51
GROAIRAS;95;51
ICAPUI;92;63
VARZEA ALEGRE;92;49
MARCO;91;70
MORAUJO;89;48
QUIXERE;87;54
MAURITI;87;37
MADALENA;86;55
ICO;86;50
MOMBACA;84;45
IRAUCUBA;78;57
GUARACIABA DO NORTE;78;50
PARAMBU;77;63
PALMACIA;77;56
SAO LUÍS DO CURU;77;51
ITAPIUNA;76;50
CRATO;75;51
BARBALHA;74;53
APUIARES;70;48
GRACA;68;53
IPUEIRAS;68;26
BATURITÉ;65;45
MISSAO VELHA;62;50
CAMPOS SALES;62;38
MIRAIMA;59;47
FORQUILHA;57;39
FARIAS BRITO;56;45
PACOTI;56;39
IBIAPINA;54;43
NOVA RUSSAS;54;15
PEDRA BRANCA;51;44
ITAICABA;50;23
OROS;49;39
FORTIM;49;37
BOA VIAGEM;49;36
SOLONOPOLE;48;40
MONSENHOR TABOSA;47;40
JAGUARETAMA;47;38
JAGUARIBARA;46;36
FRECHEIRINHA;46;31
SAO BENEDITO;45;31
IPAPORANGA;45;21
MERUOCA;43;39
BREJO SANTO;42;27
SAO JOAO DO JAGUARIBE;41;30
ALTO SANTO;38;30
IPU;38;24
URUOCA;38;21
SANTANA DO CARIRI;38;20
VARJOTA;37;32
INDEPENDENCIA;37;23
SANTANA DO ACARAU;37;23
QUITERIANOPOLIS;36;32
CARNAUBAL;35;19
RERIUTABA;32;17
PARAMOTI;31;27
ARATUBA;30;20
ERERE;28;24
SENADOR POMPEU;28;21
GENERAL SAMPAIO;28;20
MILHA;27;20
TAMBORIL;26;21
LAVRAS DA MANGABEIRA;25;20
MILAGRES;25;18
MULUNGU;24;22
POTENGI;23;9
CATUNDA;23;6
HIDROLANDIA;22;9
QUIXELO;21;7
ARNEIROZ;20;19
PACUJA;20;12
IRACEMA;18;10
CATARINA;17;15
CARIRIACU;17;12
GUARAMIRANGA;15;12
JUCAS;15;8
NOVO ORIENTE;14;12
PORANGA;14;11
PALHANO;14;9
PEREIRO;13;13
BARRO;13;4
CROATA;13;1
POTIRETAMA;12;9
CEDRO;11;6
IBARETAMA;11;4
UMARI;10;9
IPAUMIRIM;10;8
ASSARE;10;6
NOVA OLINDA;9;8
MARTINOPOLE;9;6
SALITRE;9;1
SABOEIRO;8;6
AURORA;8;4
CARIUS;8;0
AIUABA;7;4
TARRAFAS;7;2
ABAIARA;6;5
DEPUTADO IRAPUAN PINHEIRO;5;4
PIRES FERREIRA;5;4
JARDIM;5;3
PENAFORTE;5;3
ARARIPE;4;2
JATI;4;2
PIQUET CARNEIRO;4;0
ANTONINA DO NORTE;2;2
ARARENDA;2;1
BAIXIO;2;1
PORTEIRAS;2;1
ALTANEIRA;1;0
